,customers_id,recêncy,first_purchase,frequency,amount
102,3020,2256,3577,5,34.0
103,3040,3577,3709,2,35.0
104,3050,526,3774,9,43.333333333333336
105,3060,689,3362,8,67.5
106,3090,3691,3691,1,100.0
107,3100,674,3691,4,38.75
108,3120,2011,3678,4,175.0
109,3130,2480,3824,5,29.0
110,3140,3814,3814,1,100.0
111,3170,195,3720,6,29.166666666666668
112,3200,2058,3730,4,26.25
113,3260,1224,3832,7,41.42857142857143
114,3300,31,3800,11,31.363636363636363
115,3320,1570,3331,4,67.5
116,3450,2927,3738,2,22.5
117,3510,276,3341,9,31.666666666666668
118,3600,3341,3731,3,43.333333333333336
119,3610,17,3689,8,93.125
120,3650,276,3720,10,43.0
121,3670,2970,3691,2,22.5
122,3710,2144,3731,4,32.5
123,3720,2557,3288,3,36.666666666666664
124,3750,3653,3653,1,20.0
125,3780,71,3720,6,47.5
126,3800,3118,3691,2,17.5
127,3830,3178,3800,5,36.0
128,3880,1,3292,9,905.5555555555555
129,3910,3774,3774,1,75.0
130,3920,3352,3352,1,30.0
131,3940,322,3710,5,136.0
132,3950,3360,3360,1,10.0
133,3970,1057,3625,7,29.285714285714285
134,4000,126,3998,14,26.071428571428573
135,4100,3653,3653,1,30.0
136,4110,3269,3269,1,60.0
137,4150,1540,3709,8,33.75
138,4160,3288,3288,1,100.0
139,4180,97,3716,10,18.0
140,4240,3726,3726,1,15.0
141,4250,328,3988,10,37.0
142,4260,3720,3720,1,20.0
143,4290,1528,3326,5,35.0
144,4300,1827,3313,2,45.0
145,4310,3709,3709,1,40.0
146,4340,944,3810,8,72.5
147,4390,210,3752,11,30.0
148,4410,3288,3731,2,40.0
149,4420,3313,3313,1,30.0
150,4470,1,3577,10,34.5
151,4480,1,2923,8,400.0
152,4490,2,3730,11,85.0
153,4530,3341,3551,2,50.0
154,4570,3362,3362,1,30.0
155,4580,374,3710,7,68.57142857142857
156,4600,44,3305,10,39.0
157,4610,1827,3745,9,108.33333333333333
158,4650,2975,3731,3,53.333333333333336
159,4680,2192,3689,5,100.0
160,4710,14,3720,13,141.92307692307693
161,4730,1827,3288,5,32.0
162,4740,1827,3653,6,105.0
163,4750,25,3677,9,55.0
164,4790,1715,3293,4,77.5
165,4800,1,3306,10,91.5
166,4820,3727,3727,1,15.0
167,4840,3731,3731,1,30.0
168,4860,58,3585,5,54.0
169,4870,27,3668,10,43.5
170,4910,1465,3664,6,22.5
171,4930,2968,3824,3,26.666666666666668
172,4950,1065,3825,10,53.0
173,4970,295,3824,7,26.428571428571427
174,4980,1,3653,17,105.88235294117646
175,5010,731,3664,4,23.75
176,5050,265,3717,5,29.0
177,5070,783,3716,9,43.888888888888886
178,5080,1387,3069,2,150.0
179,5210,2624,3716,3,45.0
180,5230,370,3691,5,65.0
181,5250,2192,3664,3,50.0
182,5260,209,3873,11,39.54545454545455
183,5280,3810,3810,1,75.0
184,5330,205,3892,11,997.7272727272727
185,5340,731,3727,8,25.625
186,5390,731,3727,9,49.44444444444444
187,5410,2963,3730,2,35.0
188,5430,57,3690,2,52.5
189,5480,332,3653,8,81.25
190,5520,3288,3814,2,100.0
191,5530,1170,3691,11,36.36363636363637
192,5540,905,4016,6,83.33333333333333
193,5560,31,3720,11,68.18181818181819
194,5570,2813,3720,4,37.5
195,5580,3698,3698,1,15.0
196,5630,3586,3586,1,100.0
197,5640,2971,4014,4,30.0
198,5670,366,4008,11,43.18181818181818
199,5680,1401,3730,2,22.5
200,5710,3552,3552,1,50.0
201,5750,142,3731,5,122.0
202,5760,1486,3716,7,142.85714285714286
203,5780,26,3657,11,52.72727272727273
204,5790,226,3831,11,168.1818181818182
205,5810,2926,3362,2,30.0
206,5820,4000,4000,1,100.0
207,5830,748,3709,7,25.714285714285715
208,5840,923,3184,5,30.0
209,5850,197,3905,15,50.333333333333336
210,5920,2488,3738,4,395.25
211,5930,295,3730,5,32.0
212,5950,3698,3698,1,50.0
213,5970,2291,3727,3,36.666666666666664
214,5980,1387,3586,2,17.5
215,5990,38,3698,22,29.545454545454547
216,6010,3831,3997,2,27.5
217,6030,693,3831,10,29.5
218,6040,3657,3657,1,10.0
219,6060,9,3731,12,35.833333333333336
220,6080,1098,3303,2,25.0
221,6090,918,3328,5,20.0
222,6120,2923,3288,2,25.0
223,6130,23,3716,17,31.823529411764707
224,6160,2192,3657,3,166.66666666666666
225,6180,2827,3720,4,47.5
226,6190,2004,3690,5,50.0
227,6200,1491,3727,4,27.5
228,6210,1724,3691,2,50.0
229,6230,325,3825,12,23.75
230,6240,3005,3752,3,76.66666666666667
231,6250,343,3829,12,57.916666666666664
232,6270,1394,3832,4,52.5
233,6280,213,3908,12,33.75
234,6300,378,3720,10,30.5
235,6310,2927,3739,4,45.0
236,6320,42,3810,13,43.07692307692308
237,6350,3360,3360,1,50.0
238,6390,3720,3720,1,15.0
239,6400,2095,3745,9,30.555555555555557
240,6410,1017,3241,7,64.28571428571429
241,6420,3586,3586,1,20.0
242,6440,1855,3829,5,110.0
243,6450,2759,3653,3,33.333333333333336
244,6460,3814,3814,1,50.0
245,6490,1104,2212,2,30.0
246,6520,2200,3689,3,50.333333333333336
247,6540,287,3995,12,111.25
248,6550,3731,3731,1,30.0
249,6570,150,3720,14,29.285714285714285
250,6600,3288,3752,3,50.0
251,6620,13,3829,7,37.857142857142854
252,6630,281,281,1,30.0
253,6650,290,3731,11,29.09090909090909
254,6660,216,3720,7,28.571428571428573
255,6670,71,3995,8,41.875
256,6690,15,3731,25,14.0
257,6700,2235,3720,4,26.5
258,6710,435,3825,18,54.44444444444444
259,6720,3362,3362,1,50.0
260,6750,15,3998,28,28.571428571428573
261,6780,2557,3689,3,23.333333333333332
262,6790,395,3730,15,28.133333333333333
263,6810,736,3664,5,30.0
264,6830,2072,3731,2,20.0
265,6840,2963,3783,2,50.0
266,6850,15,3727,17,37.35294117647059
267,6860,3360,3360,1,100.0
268,6870,126,3906,27,40.0
269,6910,2221,3731,4,55.0
270,6940,6,3349,8,43.125
271,6950,3082,3824,3,36.666666666666664
272,6960,1113,1394,2,40.0
273,6970,13,2640,5,49.0
274,6990,1462,3288,5,30.0
275,7000,1001,3727,6,13.333333333333334
276,7010,693,3731,9,13.88888888888889
277,7040,2345,3288,2,200.0
278,7070,2058,2058,1,15.0
279,7080,59,3829,11,100.0
280,7100,2079,3689,3,43.333333333333336
281,7110,758,3730,6,170.0
282,7120,1107,1107,1,10.0
283,7140,1392,1392,1,40.0
284,7160,1127,1127,1,30.0
285,7170,3,3653,10,31.0
286,7210,567,3726,9,42.22222222222222
287,7220,2626,3817,4,62.5
288,7250,3335,3657,2,100.0
289,7290,281,3689,6,23.333333333333332
290,7330,2724,3689,2,17.5
291,7350,197,3257,3,85.0
292,7360,3219,3825,2,12.5
293,7400,3327,3327,1,30.0
294,7420,3261,3261,1,15.0
295,7430,3362,3362,1,30.0
296,7440,1115,3808,2,27.5
297,7450,442,3288,4,22.5
298,7470,3288,3731,2,15.0
299,7480,3731,3731,1,30.0
300,7490,343,3804,19,54.21052631578947
301,7500,3158,3829,3,60.0
302,7510,1633,2368,3,30.0
303,7520,3318,3318,1,100.0
304,7540,3731,3731,1,30.0
305,7550,2633,3362,4,11.25
306,7560,174,3858,8,38.75
307,7580,3349,3349,1,30.0
308,7590,3362,3362,1,30.0
309,7600,2708,3751,3,269.93333333333334
310,7610,21,3653,5,27.0
311,7660,1009,3783,13,32.69230769230769
312,7680,1122,1122,1,100.0
313,7700,1147,3829,8,15.0
314,7710,3288,3288,1,20.0
315,7720,59,3738,11,90.9090909090909
316,7730,399,3577,14,180.35714285714286
317,7740,3067,3829,4,107.5
318,7750,3738,3738,1,10.0
319,7760,44,3691,11,29.90909090909091
320,7770,3720,3720,1,15.0
321,7780,2256,3787,6,29.166666666666668
322,7790,546,3730,4,21.25
323,7820,1504,3808,5,42.0
324,7830,2192,2557,2,25.0
325,7840,1462,3731,4,27.5
326,7850,3570,3811,2,30.0
327,7860,27,3571,9,33.333333333333336
328,7890,2969,3086,2,100.0
329,7910,71,3677,7,30.0
330,7920,1394,3909,7,25.714285714285715
331,7930,2626,3727,5,34.0
332,7940,1,3586,6,20.833333333333332
333,7950,90,3829,11,28.636363636363637
334,7960,3731,3731,1,15.0
335,7980,3727,3727,1,50.0
336,7990,3361,3361,1,30.0
337,8000,6,3829,10,28.0
338,8010,31,2645,8,52.5
339,8020,1815,3727,6,25.0
340,8060,373,3731,12,27.5
341,8080,2065,3362,5,93.0
342,8090,967,3720,7,60.0
343,8110,1462,3998,8,48.75
344,8120,3824,3824,1,50.0
345,8140,2589,3807,4,30.0
346,8150,2173,4016,9,14.444444444444445
347,8160,3586,3586,1,30.0
348,8170,80,3999,13,94.61538461538461
349,8180,3288,3288,1,15.0
350,8190,2053,3310,2,25.0
351,8200,28,3720,14,24.642857142857142
352,8210,625,4010,6,25.833333333333332
353,8220,24,3481,7,44.285714285714285
354,8240,464,3130,8,30.0
355,8260,3731,3731,1,100.0
356,8270,2968,3731,2,55.0
357,8290,2963,3326,2,100.0
358,8300,2192,3831,8,140.0
359,8310,2046,3720,2,15.0
360,8320,1832,3998,7,100.0
361,8340,632,3727,11,131.8181818181818
362,8350,3720,3720,1,30.0
363,8380,436,3159,5,130.0
364,8420,63,3738,7,50.0
365,8450,3720,3720,1,30.0
366,8470,101,3825,6,49.166666666666664
367,8480,209,3804,11,49.09090909090909
368,8490,3288,3577,2,30.0
369,8510,3360,3360,1,50.0
370,8530,174,3815,11,15.090909090909092
371,8550,471,3363,11,45.0
372,8560,1,3653,10,95.0
373,8580,370,3710,7,20.0
374,8590,289,3720,7,25.714285714285715
375,8600,3730,3986,2,30.0
376,8610,2633,3362,2,30.0
377,8620,366,3814,8,37.5
378,8630,2194,3360,3,63.333333333333336
379,8650,798,3829,9,36.111111111111114
380,8660,230,3850,11,62.72727272727273
381,8670,289,3691,6,27.5
382,8680,1469,3824,3,36.666666666666664
383,8690,3177,3975,3,40.0
384,8700,3831,3831,1,25.0
385,8710,30,3716,11,48.18181818181818
386,8720,1491,3783,8,42.5
387,8730,239,3710,7,20.714285714285715
388,8740,42,3720,9,53.333333333333336
389,8750,3730,3730,1,30.0
390,8760,3698,3698,1,75.0
391,8770,3689,4011,2,30.0
392,8790,3125,3125,1,50.0
393,8800,2907,3831,3,15.0
394,8820,2631,3808,4,28.75
395,8840,3691,3691,1,30.0
396,8870,3586,3689,2,60.0
397,8880,8,3831,10,47.5
398,8890,2254,3730,4,15.0
399,8900,1421,3305,3,83.33333333333333
400,8920,3720,3720,1,15.0
401,8930,2933,3810,3,11.666666666666666
402,8940,2065,3720,2,65.0
403,8950,42,3184,8,30.0
404,8960,150,3451,8,21.25
405,8980,3360,3360,1,50.0
406,8990,1668,3506,4,13.75
407,9000,23,3689,12,60.0
408,9010,3720,3752,2,20.0
409,9020,3731,3731,1,15.0
410,9030,1875,3783,5,40.0
411,9040,3288,3677,2,80.0
412,9050,3829,3997,2,27.5
413,9060,44,1115,5,30.0
414,9080,2757,3678,4,87.5
415,9090,1329,4006,23,145.65217391304347
416,9120,988,3299,5,53.0
417,9130,799,799,1,10.0
418,9140,2480,3362,3,53.333333333333336
419,9160,1827,3988,4,57.5
420,9170,1470,3328,4,37.5
421,9190,13,3814,13,176.92307692307693
422,9210,273,3716,4,138.25
423,9220,3324,3324,1,50.0
424,9230,27,3727,12,30.0
425,9240,398,3570,16,18.125
426,9250,248,3804,12,28.75
427,9260,1,3783,11,66.36363636363636
428,9270,2199,3328,4,62.5
429,9280,3577,3808,2,27.5
430,9290,62,3362,9,106.66666666666667
431,9300,105,3689,15,28.666666666666668
432,9330,147,3577,11,16.58909090909091
433,9360,55,3783,21,25.952380952380953
434,9370,2249,3288,6,55.0
435,9380,797,3829,2,65.0
436,9390,1500,3082,3,23.333333333333332
437,9400,3313,3313,1,30.0
438,9410,2284,3824,5,60.0
439,9430,3689,3720,2,15.0
440,9470,3818,3818,1,100.0
441,9480,1743,4011,5,42.0
442,9500,1097,3824,8,72.5
443,9510,1478,3825,7,128.57142857142858
444,9520,73,3720,6,38.333333333333336
445,9530,286,3810,13,81.53846153846153
446,9540,188,3825,11,43.18181818181818
447,9550,343,3807,10,39.5
448,9560,1563,3912,7,30.0
449,9580,498,3814,7,20.714285714285715
450,9600,2407,3328,3,100.0
451,9610,1170,3341,16,7.8125
452,9630,105,3801,11,116.36363636363636
453,9640,338,3177,8,56.25
454,9650,693,3727,14,42.142857142857146
455,9660,1385,3983,8,60.0
456,9680,1680,3808,9,31.11111111111111
457,9720,29,3831,45,44.55555555555556
458,9740,24,3829,20,44.5
459,9750,3272,3272,1,30.0
460,9760,3340,3340,1,30.0
461,9770,1729,3815,8,62.5
462,9780,3288,3288,1,30.0
463,9790,63,3738,22,29.772727272727273
464,9820,1380,3804,5,42.0
465,9830,57,3739,26,30.0
466,9840,101,3824,11,163.63636363636363
467,9860,465,3773,10,10.0
468,9870,1568,3341,6,53.333333333333336
469,9890,24,3829,13,56.92307692307692
470,9900,1526,3727,10,92.5
471,9910,1750,3814,7,151.71428571428572
472,9930,1423,3730,9,29.444444444444443
473,9940,185,3908,2,25.0
474,9960,22,3800,12,37.916666666666664
475,9970,688,3669,13,49.23076923076923
476,9980,1177,3709,8,88.75
477,10010,825,3829,6,141.66666666666666
478,10020,2935,3831,5,76.0
479,10030,55,3873,11,326.3636363636364
480,10050,3731,3731,1,30.0
481,10060,3691,3691,1,15.0
482,10070,290,3831,6,103.33333333333333
483,10080,1350,3852,14,27.5
484,10090,3288,3657,2,25.0
485,10100,1750,1750,1,50.0
486,10120,1,3720,11,44.54545454545455
487,10130,3720,3720,1,15.0
488,10140,3362,3362,1,100.0
489,10150,1107,3831,5,49.0
490,10160,2716,3731,2,20.0
491,10170,3328,3328,1,30.0
492,10190,3814,3814,1,40.0
493,10200,1100,2348,3,18.333333333333332
494,10210,1269,4016,7,24.285714285714285
495,10250,931,3731,19,29.473684210526315
496,10260,3716,3831,2,125.0
497,10280,4012,4012,1,30.0
498,10290,3745,3745,1,25.0
499,10300,3997,3997,1,20.0
500,10310,76,3667,7,50.714285714285715
501,10320,3103,3810,2,57.5
502,10330,220,3892,12,151.75
503,10340,637,3800,9,24.444444444444443
504,10350,105,3752,11,29.09090909090909
505,10360,1722,3832,8,775.0
506,10370,1114,1114,1,30.0
507,10390,1504,3981,7,60.0
508,10400,2072,3349,2,20.0
509,10410,1897,3997,7,122.85714285714286
510,10420,2247,3829,8,14.375
511,10430,2485,3992,6,133.33333333333334
512,10460,735,3873,9,38.888888888888886
513,10470,1549,3804,9,14.444444444444445
514,10490,191,3835,11,171.8181818181818
515,10500,408,3829,19,29.473684210526315
516,10510,1100,3720,6,31.666666666666668
517,10520,1115,1115,1,30.0
518,10550,1462,3992,7,26.428571428571427
519,10570,15,3698,10,53.0
520,10580,15,3804,11,15.0
521,10590,97,3829,11,34.09090909090909
522,10600,63,3739,9,57.22222222222222
523,10610,1017,3800,7,107.14285714285714
524,10620,2934,3570,4,30.0
525,10630,2598,3720,3,13.333333333333334
526,10640,36,3716,34,16.564705882352943
527,10650,239,3810,9,89.66666666666667
528,10660,2058,2058,1,30.0
529,10670,1003,3677,6,133.33333333333334
530,10680,1029,3893,13,33.07692307692308
531,10690,2619,2619,1,15.0
532,10700,2207,3739,7,22.142857142857142
533,10710,3720,3720,1,15.0
534,10720,34,3730,37,26.216216216216218
535,10730,1570,3502,6,23.333333333333332
536,10750,2059,2059,1,15.0
537,10760,1717,3738,5,38.0
538,10770,281,3738,7,65.0
539,10780,9,3727,16,145.0
540,10790,2634,3720,5,30.0
541,10800,1399,3731,3,25.0
542,10820,1708,3814,7,44.285714285714285
543,10830,119,3824,11,30.0
544,10840,63,3745,7,20.714285714285715
545,10870,1394,3804,12,28.75
546,10880,1,3690,11,36.36363636363637
547,10910,3828,3828,1,100.0
548,10920,3186,3739,2,30.0
549,10930,65,3905,22,82.95454545454545
550,10950,2002,4002,10,14.0
551,10960,1126,3731,2,45.0
552,11000,2478,3577,4,30.0
553,11030,246,3328,2,30.0
554,11050,8,3783,3,28.333333333333332
555,11060,601,3731,9,30.0
556,11070,2053,4008,5,26.0
557,11080,140,3999,15,73.33333333333333
558,11090,3145,3804,3,23.333333333333332
559,11100,268,3779,13,55.0
560,11110,2763,3779,5,29.0
561,11120,3288,3698,3,43.333333333333336
562,11130,1037,3738,7,30.714285714285715
563,11140,65,3824,13,36.53846153846154
564,11150,632,3752,9,82.22222222222223
565,11160,2603,3731,4,31.25
566,11170,147,3363,5,14.0
567,11180,105,3810,11,25.454545454545453
568,11190,1104,3716,9,46.111111111111114
569,11200,693,3738,10,32.0
570,11210,42,3745,10,78.0
571,11220,2802,3731,5,28.0
572,11240,3991,3991,1,50.0
573,11250,1,3689,8,196.875
574,11260,909,4008,12,29.583333333333332
575,11270,2352,3318,3,100.0
576,11280,3720,3720,1,50.0
577,11290,742,3691,3,36.666666666666664
578,11310,1745,3835,7,207.14285714285714
579,11320,2116,3761,6,41.666666666666664
580,11340,1097,1097,1,30.0
581,11370,154,3186,8,82.5
582,11380,388,3577,8,77.5
583,11430,223,3761,12,122.08333333333333
584,11440,434,3814,11,26.818181818181817
585,11460,3144,3727,3,13.333333333333334
586,11480,55,3873,7,271.42857142857144
587,11540,37,3738,9,27.22222222222222
588,11550,2200,3831,8,29.375
589,11560,2004,3731,2,17.5
590,11570,2557,3657,2,107.5
591,11580,3293,3293,1,150.0
592,11590,133,3731,11,34.54545454545455
593,11600,147,3783,11,55.45454545454545
594,11610,57,3731,14,49.285714285714285
595,11620,770,3761,20,63.25
596,11630,2214,3585,4,87.5
597,11640,588,3824,10,30.0
598,11660,23,3783,19,56.8421052631579
599,11700,2708,3811,4,127.5
600,11710,406,3761,10,37.0
601,11730,388,3349,9,101.11111111111111
602,11740,90,4012,23,32.391304347826086
603,11750,1149,3288,5,30.0
604,11760,1394,3731,2,12.5
605,11770,259,3808,10,54.5
606,11780,2065,3727,2,20.0
607,11790,3689,3689,1,250.0
608,11800,1210,3779,8,37.5
609,11830,821,3824,15,31.333333333333332
610,11840,56,3783,12,100.0
611,11860,3752,3752,1,50.0
612,11880,412,3761,10,71.0
613,11890,104,3751,11,37.27272727272727
614,11910,1364,3825,8,31.875
615,11920,2047,3773,6,26.666666666666668
616,11930,3720,3720,1,150.0
617,11940,2598,3997,8,35.625
618,11950,1,3664,3,1000.0
619,11960,77,3716,7,30.0
620,11970,3288,3288,1,75.0
621,11990,385,3815,9,46.666666666666664
622,12000,1841,3731,5,35.0
623,12010,601,3779,9,78.33333333333333
624,12020,2228,3804,5,86.0
625,12030,2540,3730,5,36.0
626,12060,289,3731,13,17.692307692307693
627,12070,2205,2205,1,25.0
628,12110,2074,3972,4,25.0
629,12120,3305,3305,1,70.0
630,12130,1520,3709,5,40.0
631,12140,755,3730,10,121.0
632,12150,770,2610,6,36.666666666666664
633,12160,3726,3726,1,20.0
634,12200,79,3691,11,37.27272727272727
635,12230,48,3761,11,36.36363636363637
636,12240,268,3527,10,143.0
637,12250,1203,3691,8,148.75
638,12280,2954,3731,3,29.666666666666668
639,12290,2693,3752,2,100.0
640,12300,2992,3720,2,75.0
641,12320,1,3716,8,153.75
642,12340,1120,3360,5,52.0
643,12350,3825,3825,1,50.0
644,12360,3,3677,12,55.0
645,12370,2933,3288,2,100.0
646,12400,1710,3110,5,30.0
647,12430,15,3720,11,58.63636363636363
648,12440,290,3727,11,90.0
649,12470,3328,3731,2,30.0
650,12480,2640,3727,4,100.0
651,12490,3362,3362,1,40.0
652,12520,185,3698,9,78.88888888888889
653,12530,3810,3810,1,25.0
654,12570,419,3720,8,61.25
655,12590,1,3657,9,23.333333333333332
656,12600,1,3669,9,35.55555555555556
657,12620,1268,3745,7,100.0
658,12630,3324,3698,2,200.0
659,12640,2130,3720,4,25.0
660,12650,2079,3577,3,71.66666666666667
661,12660,15,3720,11,60.63636363636363
662,12670,185,3698,17,273.52941176470586
663,12690,55,3331,6,42.5
664,12700,3730,3730,1,50.0
665,12730,321,3800,11,54.09090909090909
666,12740,22,3829,11,50.0
667,12760,3731,3731,1,30.0
668,12780,1,2923,3,1766.6666666666667
669,12790,2498,3738,6,25.833333333333332
670,12800,98,3730,4,492.5
671,12820,2408,3655,4,187.5
672,12830,1120,3717,10,550.0
673,12840,29,3800,10,120.0
674,12850,9,3873,14,72.14285714285714
675,12860,3327,3727,2,50.0
676,12870,650,3691,8,112.5
677,12880,45,3677,10,40.0
678,12890,21,3709,11,313.6363636363636
679,12900,3691,3691,1,80.0
680,12910,50,3305,10,64.0
681,12920,1857,3698,5,44.0
682,12940,44,3668,11,96.81818181818181
683,12960,199,2998,7,24.285714285714285
684,12970,31,3730,9,48.333333333333336
685,12980,44,3731,5,17.0
686,13000,1462,2935,5,33.0
687,13010,2410,3691,3,23.333333333333332
688,13020,388,2564,3,150.0
689,13030,289,3689,4,18.75
690,13040,23,3653,10,29.0
691,13060,188,3773,12,37.5
692,13070,2192,3305,3,20.0
693,13090,34,3288,9,15.0
694,13100,196,3720,6,41.666666666666664
695,13110,3116,3773,3,36.666666666666664
696,13130,29,3710,11,30.0
697,13140,3716,3716,1,30.0
698,13150,1470,3611,5,76.0
699,13160,1267,3668,9,30.0
700,13190,328,3150,8,32.5
701,13200,42,3669,10,70.2
702,13240,3691,3691,1,15.0
703,13250,14,3655,10,57.0
704,13260,1359,3738,7,53.57142857142857
705,13270,3,3709,11,46.81818181818182
706,13290,50,3664,22,47.72727272727273
707,13300,339,3669,11,38.18181818181818
708,13310,3313,3698,2,200.0
709,13320,170,3082,10,130.16
710,13330,3288,3653,2,85.0
711,13340,1791,3678,7,1000.0
712,13350,374,4004,11,190.9090909090909
713,13360,108,3842,13,71.53846153846153
714,13390,31,3655,11,55.0
715,13400,731,3669,9,32.22222222222222
716,13410,1,3727,9,87.77777777777777
717,13420,24,3657,11,35.45454545454545
718,13430,1,3678,11,59.09090909090909
719,13440,13,3727,10,101.5
720,13460,2207,3745,5,150.0
721,13470,2219,3745,5,29.0
722,13490,3653,3653,1,45.0
723,13500,21,3800,15,121.66666666666667
724,13510,1549,3667,6,75.0
725,13520,3524,3698,2,17.5
726,13530,50,3657,7,37.142857142857146
727,13540,49,3720,12,118.75
728,13550,1192,3783,6,20.833333333333332
729,13560,1385,3664,2,42.5
730,13570,546,3825,7,54.285714285714285
731,13580,55,3710,11,50.0
732,13590,15,3710,12,74.16666666666667
733,13600,6,3669,11,10.0
734,13610,1307,3657,8,3043.75
735,13620,3,3657,11,37.27272727272727
736,13630,731,3300,7,55.714285714285715
737,13640,2192,3655,4,150.0
738,13660,29,3655,13,90.38461538461539
739,13670,1843,3731,6,50.0
740,13680,218,3814,16,86.5625
741,13690,808,3655,6,166.66666666666666
742,13700,2233,3720,5,30.0
743,13710,41,3667,11,39.09090909090909
744,13720,73,3689,10,46.0
745,13730,3306,3677,2,87.5
746,13760,43,3657,19,267.36842105263156
747,13780,1096,2968,6,50.0
748,13790,1715,3657,3,233.33333333333334
749,13800,1486,3653,6,32.5
750,13810,1491,3817,6,111.74166666666667
751,13820,71,3745,10,330.0
752,13840,770,3818,7,31.428571428571427
753,13850,2935,3664,3,20.666666666666668
754,13860,1841,3655,7,28.571428571428573
755,13870,1096,3716,8,40.625
756,13880,1,3653,8,826.25
757,13890,41,3668,9,26.666666666666668
758,13900,34,3709,10,48.3
759,13910,1,3653,11,59.09090909090909
760,13920,366,3653,10,15.0
761,13930,2570,3664,4,47.5
762,13940,2550,3288,4,32.5
763,13950,742,3657,8,21.25
764,13990,3288,3653,2,42.5
765,14020,9,3653,11,31.0
766,14030,154,3810,14,91.78571428571429
767,14040,381,3288,7,29.285714285714285
768,14050,742,3655,2,55.0
769,14060,3,3655,6,18.333333333333332
770,14070,64,3288,2,18.81
771,14090,371,3653,7,32.857142857142854
772,14100,1,3892,18,272.77777777777777
773,14120,3157,3157,1,30.0
774,14130,1,3730,6,158.33333333333334
775,14140,4014,4014,1,20.0
776,14150,4012,4012,1,210.0
777,14170,3288,4011,2,75.0
778,14190,1848,4011,6,120.83333333333333
779,14200,366,4011,7,41.42857142857143
780,14210,2,3304,10,55.0
