,recêncy,frequency,amount
5070,783,9,3.7816611875649024
5080,1387,2,5.0106352940962555
5210,2624,3,3.8066624897703196
5230,370,5,4.174387269895637
5250,2192,3,3.912023005428146
5260,209,11,3.6774507582903135
5280,3810,1,4.31748811353631
5330,205,11,6.905479965145002
5340,731,8,3.2435684374585723
5390,731,9,3.9008497048300206
5410,2963,2,3.5553480614894135
5430,57,2,3.960813169597578
5480,332,8,4.3975308212098465
5520,3288,2,4.605170185988092
5530,1170,11,3.5935692743096115
5540,905,6,4.422848629194137
5560,31,11,4.222177933731985
5570,2813,4,3.624340932976365
5580,3698,1,2.70805020110221
5630,3586,1,4.605170185988092
5640,2971,4,3.4011973816621555
5670,366,11,3.7654195312362706
5680,1401,2,3.1135153092103742
5710,3552,1,3.912023005428146
5750,142,5,4.804021044733257
5760,1486,7,4.961845129926823
5780,26,11,3.9651328307420943
5790,226,11,5.125045645274
5810,2926,2,3.4011973816621555
5820,4000,1,4.605170185988092
5830,748,7,3.247046701834897
5840,923,5,3.4011973816621555
5850,197,15,3.9186675481468147
5920,2488,4,5.979518476089582
5930,295,5,3.4657359027997265
5950,3698,1,3.912023005428146
5970,2291,3,3.6018680771243066
5980,1387,2,2.8622008809294686
5990,38,22,3.385929909531367
6010,3831,2,3.3141860046725258
6030,693,10,3.3843902633457743
6040,3657,1,2.302585092994046
6060,9,12,3.578878558899608
6080,1098,2,3.2188758248682006
6090,918,5,2.995732273553991
6120,2923,2,3.2188758248682006
6130,23,17,3.4602059347902654
6160,2192,3,5.115995809754082
6180,2827,4,3.8607297110405954
6190,2004,5,3.912023005428146
6200,1491,4,3.3141860046725258
6210,1724,2,3.912023005428146
6230,325,12,3.1675825304806504
6240,3005,3,4.339467020255086
6250,343,12,4.059005195776792
6270,1394,4,3.960813169597578
6280,213,12,3.518980417318539
6300,378,10,3.417726683613366
6310,2927,4,3.8066624897703196
6320,42,13,3.7629874262676584
6350,3360,1,3.912023005428146
6390,3720,1,2.70805020110221
6400,2095,9,3.419546520330352
6410,1017,7,4.163337433709052
6420,3586,1,2.995732273553991
6440,1855,5,4.700480365792417
6450,2759,3,3.506557897319982
6460,3814,1,3.912023005428146
6490,1104,2,3.4011973816621555
6520,2200,3,3.9186675481468147
6540,287,12,4.711779921046349
6550,3731,1,3.4011973816621555
6570,150,14,3.377099830083095
6600,3288,3,3.912023005428146
6620,13,7,3.633819676930909
6630,281,1,3.4011973816621555
6650,290,11,3.3704257229954018
6660,216,7,3.3524072174927233
6670,71,8,3.7346889901452305
6690,15,25,2.6390573296152584
6700,2235,4,3.2771447329921766
6710,435,18,3.997180813768453
6720,3362,1,3.912023005428146
6750,15,28,3.3524072174927233
6780,2557,3,3.1498829533812494
6790,395,15,3.3369551129338015
6810,736,5,3.4011973816621555
6830,2072,2,2.995732273553991
6840,2963,2,3.912023005428146
6850,15,17,3.6204116548364755
6860,3360,1,4.605170185988092
6870,126,27,3.6888794541139363
6910,2221,4,4.007333185232471
6940,6,8,3.764102875351524
6950,3082,3,3.6018680771243066
6960,1113,2,3.6888794541139363
6970,13,5,3.8918202981106265
6990,1462,5,3.4011973816621555
7000,1001,6,2.5902671654458267
7010,693,9,2.631089159966082
7040,2345,2,5.298317366548036
7070,2058,1,2.70805020110221
7080,59,11,4.605170185988092
7100,2079,3,3.7689221617874726
7110,758,6,5.135798437050262
7120,1107,1,2.302585092994046
7140,1392,1,3.6888794541139363
7160,1127,1,3.4011973816621555
7170,3,10,3.4339872044851463
7210,567,9,3.742946675384212
7220,2626,4,4.135166556742356
7250,3335,2,4.605170185988092
7290,281,6,3.1498829533812494
7330,2724,2,2.8622008809294686
7350,197,3,4.442651256490317
7360,3219,2,2.5257286443082556
7400,3327,1,3.4011973816621555
7420,3261,1,2.70805020110221
7430,3362,1,3.4011973816621555
7440,1115,2,3.3141860046725258
7450,442,4,3.1135153092103742
7470,3288,2,2.70805020110221
7480,3731,1,3.4011973816621555
7490,343,19,3.992875102057241
7500,3158,3,4.0943445622221
7510,1633,3,3.4011973816621555
7520,3318,1,4.605170185988092
7540,3731,1,3.4011973816621555
7550,2633,4,2.4203681286504293
7560,174,8,3.657130755799356
7580,3349,1,3.4011973816621555
7590,3362,1,3.4011973816621555
7600,2708,3,5.598175014929951
7610,21,5,3.295836866004329
7660,1009,13,3.48713981146288
7680,1122,1,4.605170185988092
7700,1147,8,2.70805020110221
7710,3288,1,2.995732273553991
7720,59,11,4.509860006183766
7730,399,14,5.194939012094202
7740,3067,4,4.677490847567717
7750,3738,1,2.302585092994046
7760,44,11,3.398162477967001
7770,3720,1,2.70805020110221
7780,2256,6,3.373026504695459
7790,546,4,3.056356895370426
7820,1504,5,3.7376696182833684
7830,2192,2,3.2188758248682006
7840,1462,4,3.3141860046725258
7850,3570,2,3.4011973816621555
7860,27,9,3.506557897319982
7890,2969,2,4.605170185988092
7910,71,7,3.4011973816621555
7920,1394,7,3.247046701834897
7930,2626,5,3.5263605246161616
7940,1,6,3.036554268074246
7950,90,11,3.3546773660272624
7960,3731,1,2.70805020110221
7980,3727,1,3.912023005428146
7990,3361,1,3.4011973816621555
8000,6,10,3.332204510175204
8010,31,8,3.960813169597578
8020,1815,6,3.2188758248682006
8060,373,12,3.3141860046725258
8080,2065,5,4.532599493153256
8090,967,7,4.0943445622221
8110,1462,8,3.886705197443856
8120,3824,1,3.912023005428146
8140,2589,4,3.4011973816621555
8150,2173,9,2.670309873119363
8160,3586,1,3.4011973816621555
8170,80,13,4.549820090904927
8180,3288,1,2.70805020110221
8190,2053,2,3.2188758248682006
8200,28,14,3.2044870874161013
8210,625,6,3.2516656476911914
8220,24,7,3.7906621484238787
8240,464,8,3.4011973816621555
8260,3731,1,4.605170185988092
8270,2968,2,4.007333185232471
8290,2963,2,4.605170185988092
8300,2192,8,4.941642422609304
8310,2046,2,2.70805020110221
8320,1832,7,4.605170185988092
8340,632,11,4.881423562616249
8350,3720,1,3.4011973816621555
8380,436,5,4.867534450455582
8420,63,7,3.912023005428146
8450,3720,1,3.4011973816621555
8470,101,6,3.895215887111765
8480,209,11,3.8936738667599498
8490,3288,2,3.4011973816621555
8510,3360,1,3.912023005428146
8530,174,11,2.7140925155581725
8550,471,11,3.8066624897703196
8560,1,10,4.553876891600541
8580,370,7,2.995732273553991
8590,289,7,3.247046701834897
8600,3730,2,3.4011973816621555
8610,2633,2,3.4011973816621555
8620,366,8,3.624340932976365
8630,2194,3,4.148411783492376
8650,798,9,3.586600604993518
8660,230,11,4.138796324792935
8670,289,6,3.3141860046725258
8680,1469,3,3.6018680771243066
8690,3177,3,3.6888794541139363
8700,3831,1,3.2188758248682006
8710,30,11,3.8749817337477968
8720,1491,8,3.7495040759303713
8730,239,7,3.030823593365261
8740,42,9,3.9765615265657175
8750,3730,1,3.4011973816621555
8760,3698,1,4.31748811353631
8770,3689,2,3.4011973816621555
8790,3125,1,3.912023005428146
8800,2907,3,2.70805020110221
8820,2631,4,3.3586377672433594
8840,3691,1,3.4011973816621555
8870,3586,2,4.0943445622221
8880,8,10,3.8607297110405954
8890,2254,4,2.70805020110221
8900,1421,3,4.422848629194137
8920,3720,1,2.70805020110221
8930,2933,3,2.456735772821304
8940,2065,2,4.174387269895637
8950,42,8,3.4011973816621555
8960,150,8,3.056356895370426
8980,3360,1,3.912023005428146
8990,1668,4,2.6210388241125804
9000,23,12,4.0943445622221
9010,3720,2,2.995732273553991
9020,3731,1,2.70805020110221
9030,1875,5,3.6888794541139363
9040,3288,2,4.382026634673881
9050,3829,2,3.3141860046725258
9060,44,5,3.4011973816621555
9080,2757,4,4.471638793363569
9090,1329,23,4.9812214088899625
9120,988,5,3.970291913552122
9130,799,1,2.302585092994046
9140,2480,3,3.9765615265657175
9160,1827,4,4.051784947803305
9170,1470,4,3.624340932976365
9190,13,13,5.175715044455704
9210,273,4,4.929063640402444
9220,3324,1,3.912023005428146
9230,27,12,3.4011973816621555
9240,398,16,2.8972922007407385
9250,248,12,3.3586377672433594
9260,1,11,4.195149261344066
9270,2199,4,4.135166556742356
9280,3577,2,3.3141860046725258
9290,62,9,4.669708707125663
9300,105,15,3.355735007585398
9330,147,11,2.808745305177762
9360,55,21,3.256263356939821
9370,2249,6,4.007333185232471
9380,797,2,4.174387269895637
9390,1500,3,3.1498829533812494
9400,3313,1,3.4011973816621555
9410,2284,5,4.0943445622221
9430,3689,2,2.70805020110221
9470,3818,1,4.605170185988092
9480,1743,5,3.7376696182833684
9500,1097,8,4.283586561860629
9510,1478,7,4.8564846142689975
9520,73,6,3.6463198396951406
9530,286,13,4.401074829644576
9540,188,11,3.7654195312362706
9550,343,10,3.676300671907076
9560,1563,7,3.4011973816621555
9580,498,7,3.030823593365261
9600,2407,3,4.605170185988092
9610,1170,16,2.05572501506252
9630,105,11,4.756720084115292
9640,338,8,4.029806041084529
9650,693,14,3.7410652072845068
9660,1385,8,4.0943445622221
9680,1680,9,3.43756502583303
9720,29,45,3.7967368499703498
9740,24,20,3.7954891891721947
9750,3272,1,3.4011973816621555
9760,3340,1,3.4011973816621555
9770,1729,8,4.135166556742356
9780,3288,1,3.4011973816621555
9790,63,22,3.393592782276936
9820,1380,5,3.7376696182833684
9830,57,26,3.4011973816621555
9840,101,11,5.097646671085886
9860,465,10,2.302585092994046
9870,1568,6,3.9765615265657175
9890,24,13,4.041700828736679
9900,1526,10,4.52720864451838
9910,1750,7,5.021999052746571
9930,1423,9,3.382505248650003
9940,185,2,3.2188758248682006
9960,22,12,3.63539076916295
9970,688,13,3.8965188188921807
9980,1177,8,4.485823428355525
10010,825,6,4.953476880256307
10020,2935,5,4.330733340286331
10030,55,11,5.788012208683954
10050,3731,1,3.4011973816621555
10060,3691,1,2.70805020110221
10070,290,6,4.637960008811082
10080,1350,14,3.3141860046725258
10090,3288,2,3.2188758248682006
10100,1750,1,3.912023005428146
10120,1,11,3.7965101183063017
10130,3720,1,2.70805020110221
10140,3362,1,4.605170185988092
10150,1107,5,3.8918202981106265
10160,2716,2,2.995732273553991
10170,3328,1,3.4011973816621555
10190,3814,1,3.6888794541139363
10200,1100,3,2.908720896564361
10210,1269,7,3.1898882879949486
10250,931,19,3.3834978045627544
10260,3716,2,4.8283137373023015
10280,4012,1,3.4011973816621555
10290,3745,1,3.2188758248682006
10300,3997,1,2.995732273553991
10310,76,7,3.9262076404201025
10320,3103,2,4.051784947803305
10330,220,12,5.022234429939608
10340,637,9,3.196402969016142
10350,105,11,3.3704257229954018
10360,1722,8,6.652863029353347
10370,1114,1,3.4011973816621555
10390,1504,7,4.0943445622221
10400,2072,2,2.995732273553991
10410,1897,7,4.81102224019224
10420,2247,8,2.665490586683414
10430,2485,6,4.892852258439873
10460,735,9,3.66070857714724
10470,1549,9,2.670309873119363
10490,191,11,5.146436835255318
10500,408,19,3.3834978045627544
10510,1100,6,3.455264602932431
10520,1115,1,3.4011973816621555
10550,1462,7,3.2744456760230114
10570,15,10,3.970291913552122
10580,15,11,2.70805020110221
10590,97,11,3.5290307531720404
10600,63,9,4.046942323327516
10610,1017,7,4.674163057475043
10620,2934,4,3.4011973816621555
10630,2598,3,2.5902671654458267
10640,36,34,2.8072742802276713
10650,239,9,4.496099090933729
10660,2058,1,3.4011973816621555
10670,1003,6,4.892852258439873
10680,1029,13,3.4988358512260715
10690,2619,1,2.70805020110221
10700,2207,7,3.0975149678639333
10710,3720,1,2.70805020110221
10720,34,37,3.266378158853204
10730,1570,6,3.1498829533812494
10750,2059,1,2.70805020110221
10760,1717,5,3.6375861597263857
10770,281,7,4.174387269895637
10780,9,16,4.976733742420574
10790,2634,5,3.4011973816621555
10800,1399,3,3.2188758248682006
10820,1708,7,3.7906621484238787
10830,119,11,3.4011973816621555
10840,63,7,3.030823593365261
10870,1394,12,3.3586377672433594
10880,1,11,3.5935692743096115
10910,3828,1,4.605170185988092
10920,3186,2,3.4011973816621555
10930,65,22,4.418292812658276
10950,2002,10,2.6390573296152584
10960,1126,2,3.8066624897703196
11000,2478,4,3.4011973816621555
11030,246,2,3.4011973816621555
11050,8,3,3.3440389678222067
11060,601,9,3.4011973816621555
11070,2053,5,3.258096538021482
11080,140,15,4.295015257684252
11090,3145,3,3.1498829533812494
11100,268,13,4.007333185232471
11110,2763,5,3.367295829986474
11120,3288,3,3.7689221617874726
11130,1037,7,3.4247278790723494
11140,65,13,3.5983654465731045
11150,632,9,4.409425608861996
11160,2603,4,3.4420193761824107
11170,147,5,2.6390573296152584
11180,105,11,3.236894330370879
11190,1104,9,3.831053942894479
11200,693,10,3.4657359027997265
11210,42,10,4.356708826689592
11220,2802,5,3.332204510175204
11240,3991,1,3.912023005428146
11250,1,8,5.282569009579897
11260,909,12,3.3872111396874156
11270,2352,3,4.605170185988092
11280,3720,1,3.912023005428146
11290,742,3,3.6018680771243066
11310,1745,7,5.333408686359307
11320,2116,6,3.7297014486341915
11340,1097,1,3.4011973816621555
11370,154,8,4.412798293340635
11380,388,8,4.350277936359301
11430,223,12,4.804703871663167
11440,434,11,3.289080083541449
11460,3144,3,2.5902671654458267
11480,55,7,5.603699016099219
11540,37,9,3.3040336332085074
11550,2200,8,3.380143972464323
11560,2004,2,2.8622008809294686
11570,2557,2,4.677490847567717
11580,3293,1,5.0106352940962555
11590,133,11,3.542275979922061
11600,147,11,4.015563684368987
11610,57,14,3.8976342679760463
11620,770,20,4.1470951276076295
11630,2214,4,4.471638793363569
11640,588,10,3.4011973816621555
11660,23,19,4.040277340951825
11700,2708,4,4.848116364598481
11710,406,10,3.6109179126442243
11730,388,9,4.6162200221746765
11740,90,23,3.4778900024504096
11750,1149,5,3.4011973816621555
11760,1394,2,2.5257286443082556
11770,259,10,3.9982007016691985
11780,2065,2,2.995732273553991
11790,3689,1,5.521460917862246
11800,1210,8,3.624340932976365
11830,821,15,3.4446824936018943
11840,56,12,4.605170185988092
11860,3752,1,3.912023005428146
11880,412,10,4.2626798770413155
11890,104,11,3.618261886899983
11910,1364,8,3.46182200347859
11920,2047,6,3.283414346005772
11930,3720,1,5.0106352940962555
11940,2598,8,3.5730476385888146
11950,1,3,6.907755278982137
11960,77,7,3.4011973816621555
11970,3288,1,4.31748811353631
11990,385,9,3.8430301339411947
12000,1841,5,3.5553480614894135
12010,601,9,4.360973225476049
12020,2228,5,4.454347296253507
12030,2540,5,3.58351893845611
12060,289,13,2.873129951461659
12070,2205,1,3.2188758248682006
12110,2074,4,3.2188758248682006
12120,3305,1,4.248495242049359
12130,1520,5,3.6888794541139363
12140,755,10,4.795790545596741
12150,770,6,3.6018680771243066
12160,3726,1,2.995732273553991
12200,79,11,3.618261886899983
12230,48,11,3.5935692743096115
12240,268,10,4.962844630259907
12250,1203,8,5.002267044425739
12280,2954,3,3.39002408106403
12290,2693,2,4.605170185988092
12300,2992,2,4.31748811353631
12320,1,8,5.035327906686628
12340,1120,5,3.9512437185814275
12350,3825,1,3.912023005428146
12360,3,12,4.007333185232471
12370,2933,2,4.605170185988092
12400,1710,5,3.4011973816621555
12430,15,11,4.071355043997402
12440,290,11,4.499809670330265
12470,3328,2,3.4011973816621555
12480,2640,4,4.605170185988092
12490,3362,1,3.6888794541139363
12520,185,9,4.368040392699141
12530,3810,1,3.2188758248682006
12570,419,8,4.114963849424837
12590,1,9,3.1498829533812494
12600,1,9,3.571096418457553
12620,1268,7,4.605170185988092
12630,3324,2,5.298317366548036
12640,2130,4,3.2188758248682006
12650,2079,3,4.272025739459553
12660,15,11,4.104894773117253
12670,185,17,5.611409154525186
12690,55,6,3.7495040759303713
12700,3730,1,3.912023005428146
12730,321,11,3.9906661327472595
12740,22,11,3.912023005428146
12760,3731,1,3.4011973816621555
12780,1,3,7.476849810872103
12790,2498,6,3.2516656476911914
12800,98,4,6.199494460612144
12820,2408,4,5.233778845410465
12830,1120,10,6.309918278226516
12840,29,10,4.787491742782046
12850,9,14,4.278648280220047
12860,3327,2,3.912023005428146
12870,650,8,4.722953221644475
12880,45,10,3.6888794541139363
12890,21,11,5.7482342372270345
12900,3691,1,4.382026634673881
12910,50,10,4.1588830833596715
12920,1857,5,3.784189633918261
12940,44,11,4.572834805345155
12960,199,7,3.1898882879949486
12970,31,9,3.8781214537524646
12980,44,5,2.833213344056216
13000,1462,5,3.4965075614664802
13010,2410,3,3.1498829533812494
13020,388,3,5.0106352940962555
13030,289,4,2.9311937524164198
13040,23,10,3.367295829986474
13060,188,12,3.624340932976365
13070,2192,3,2.995732273553991
13090,34,9,2.70805020110221
13100,196,6,3.7297014486341915
13110,3116,3,3.6018680771243066
13130,29,11,3.4011973816621555
13140,3716,1,3.4011973816621555
13150,1470,5,4.330733340286331
13160,1267,9,3.4011973816621555
13190,328,8,3.481240089335692
13200,42,10,4.251348311031766
13240,3691,1,2.70805020110221
13250,14,10,4.04305126783455
13260,1359,7,3.9810158769150976
13270,3,11,3.8462716278653657
13290,50,22,3.8655029897932534
13300,339,11,3.642359438479043
13310,3313,2,5.298317366548036
13320,170,10,4.868764462910782
13330,3288,2,4.442651256490317
13340,1791,7,6.907755278982137
13350,374,11,5.251797350913144
13360,108,13,4.270235228685765
13390,31,11,4.007333185232471
13400,731,9,3.4726563456443005
13410,1,9,4.474808368124847
13420,24,11,3.5682514663253215
13430,1,11,4.079077090091312
13440,13,10,4.620058798481842
13460,2207,5,5.0106352940962555
13470,2219,5,3.367295829986474
13490,3653,1,3.8066624897703196
13500,21,15,4.8012850649143815
13510,1549,6,4.31748811353631
13520,3524,2,2.8622008809294686
13530,50,7,3.6147714819602146
13540,49,12,4.7770204429147505
13550,1192,6,3.036554268074246
13560,1385,2,3.7495040759303713
13570,546,7,3.994261103665118
13580,55,11,3.912023005428146
13590,15,12,4.306314812938186
13600,6,11,2.302585092994046
13610,1307,8,8.0208455868309
13620,3,11,3.618261886899983
13630,731,7,4.020236590068379
13640,2192,4,5.0106352940962555
13660,29,13,4.504074069116722
13670,1843,6,3.912023005428146
13680,218,16,4.4608666963816574
13690,808,6,5.115995809754082
13700,2233,5,3.4011973816621555
13710,41,11,3.6658899358892376
13720,73,10,3.828641396489095
13730,3306,2,4.471638793363569
13760,43,19,5.588627561406087
13780,1096,6,3.912023005428146
13790,1715,3,5.452468046375295
13800,1486,6,3.481240089335692
13810,1491,6,4.716189659497596
13820,71,10,5.799092654460526
13840,770,7,3.447717397297048
13850,2935,3,3.028522096376982
13860,1841,7,3.3524072174927233
13870,1096,8,3.7043836406499016
13880,1,8,6.7168973911658965
13890,41,9,3.283414346005772
13900,34,10,3.877431560658527
13910,1,11,4.079077090091312
13920,366,10,2.70805020110221
13930,2570,4,3.8607297110405954
13940,2550,4,3.481240089335692
13950,742,8,3.056356895370426
13990,3288,2,3.7495040759303713
14020,9,11,3.4339872044851463
14030,154,14,4.519456667714062
14040,381,7,3.377099830083095
14050,742,2,4.007333185232471
14060,3,6,2.908720896564361
14070,64,2,2.934388643312939
14090,371,7,3.492169159867882
14100,1,18,5.608657462892402
14120,3157,1,3.4011973816621555
14130,1,6,5.064702515366531
14140,4014,1,2.995732273553991
14150,4012,1,5.3471075307174685
14170,3288,2,4.31748811353631
14190,1848,6,4.794412185626619
14200,366,7,3.7239707739252066
14210,2,10,4.007333185232471
14230,370,11,3.4011973816621555
14240,1827,6,5.378360074221573
14270,2923,3,3.4011973816621555
14280,1507,1,3.2188758248682006
14310,1,13,5.962194164807869
14320,4010,1,3.912023005428146
14330,1287,1,5.0106352940962555
14370,542,8,3.2435684374585723
14380,13,6,4.31748811353631
14390,2577,1,2.70805020110221
14410,2197,8,4.154969184038536
14430,14,11,3.642359438479043
14440,13,12,3.981797793360964
14450,374,11,3.8936738667599498
14470,2192,6,3.7297014486341915
14490,2192,4,3.056356895370426
14500,4005,1,3.5553480614894135
14510,4005,1,3.912023005428146
14520,1568,9,3.571096418457553
14540,1,12,5.156177599386914
14570,37,12,4.621699487939302
14580,3,11,5.7188203520207415
14590,1,11,4.474232828540615
14600,3335,3,2.8134107167600364
14610,3288,2,5.0106352940962555
14630,750,3,4.669708707125663
14640,573,11,5.641262117674867
14650,330,11,4.160302530013898
14670,4000,1,4.330733340286331
14680,3653,2,2.995732273553991
14690,3783,2,5.026836673434263
14700,731,6,4.669708707125663
14710,3810,2,3.3141860046725258
14720,798,5,3.332204510175204
14740,3998,1,3.912023005428146
14750,604,8,3.3366588605245844
14760,3349,3,2.5902671654458267
14770,798,11,2.9492122579190982
14780,3362,2,3.4011973816621555
14800,8,11,4.874503119771676
14810,2923,4,3.960813169597578
14830,3991,1,2.302585092994046
14840,3989,1,3.2188758248682006
14890,688,10,3.3843902633457743
14900,2923,1,4.605170185988092
14950,2822,9,4.112693700890297
14970,3320,1,3.4011973816621555
14980,3185,3,3.8430301339411947
14990,1892,3,3.455264602932431
15010,370,10,4.07753744390572
15020,1540,13,3.6088367464404
15030,2053,6,3.6018680771243066
15040,3185,2,3.4011973816621555
15050,1520,8,3.912023005428146
15060,3691,2,2.5257286443082556
15070,3909,1,2.70805020110221
15080,3909,1,2.995732273553991
15090,3653,2,3.8066624897703196
15100,1115,2,4.007333185232471
15110,8,11,3.5290307531720404
15140,1275,11,3.040184036124825
15160,65,22,3.3704257229954018
15170,34,12,3.3440389678222067
15180,34,13,5.278899280690935
15190,3288,2,3.4011973816621555
15200,1392,3,2.8134107167600364
15210,1211,12,3.0163515607567266
15220,3909,1,3.4011973816621555
15230,1939,12,3.3440389678222067
15240,265,10,2.917770732084279
15260,239,2,4.605170185988092
15270,3731,2,2.70805020110221
15280,1469,5,3.9889840465642745
15290,15,12,2.5902671654458267
15300,248,3,3.2188758248682006
15310,1478,10,3.139832617527748
15320,122,8,2.70805020110221
15330,279,17,4.392995666044455
15340,3710,2,3.2188758248682006
15350,3720,2,3.912023005428146
15360,2767,5,3.6888794541139363
15370,3087,3,2.908720896564361
15380,3577,3,2.908720896564361
15390,3908,1,3.4011973816621555
15400,3908,1,2.70805020110221
15410,3908,1,5.991464547107982
15440,373,4,4.8283137373023015
15450,3293,3,4.199705077879927
15460,3349,2,3.1135153092103742
15470,3908,1,3.912023005428146
15480,3577,2,4.605170185988092
15510,3625,2,3.1135153092103742
15520,335,13,3.71731738943447
15530,787,11,4.261398646885267
